Не все из нас с нами.
	вы не говорите по-испански?

	Этот фильм для тех, кто хоть чуть-чуть говорит на языке автора. 

Я говорю по-испански. Немного. Иногда. 

	Все знакомые мне работы Джармуша, убежден, были созданы им для самого себя, и никого кроме. Но эта лента — в большей степени, чем другие. У нее нет недостатков: любые критерии условны; у нее нет достоинств: не передать насколько тщетно препарировать ее, вычленяя отдельные детали: работу осветителя или актерскую игру. Она — живописное полотно, фотография во времени и пространстве — единая, сама в себе. Ее сложно понять но она отнюдь не непонятна. Ее сложно воспринять: авторское мировоззрение манит, призывает к себе, но только тех, кто стремится к этому. Ее можно созерцать: и как много удовольствия достанется тем, кто решится. 

	воспользовался воображением
	зачем? 

	В этом нет снобизма, нет элитарного разделения на тех, кто с нами, и всех остальных. А есть сродство видения зрителя и художника, личных миров. Конечно, существуют традиции подхода к любому искусству подобным образом, но, уверен, разница в том, что 'Пределы Контроля' можно судить лишь этими критериями, и только ими. 

	вселенная без краёв и центра,
	в вечном движении 

	В картине нет действия — лишь медитативная история разворачивает ковром неторопливый калейдоскоп маленьких отрывков Пути. Нет персонажей — лишь нелепый самурай и декорации, где в бесконечных беседах и странных ритуалах истекает время. Островки быта в океане разговоров, мыслей, отдельных фраз размеренно ведут от начала тропой, что должно пройти. И это всё, не нужно большего: идеальная история, наш 'Мертвец', приплывший к далеким берегам, но не нашедший своего окончания.

	вы все же не говорите по-испански?

	Если первые десять минут прошли в скуке — не стоит пытаться, ожидая большего. Не стоит питать в себе раздражение, давясь кадрами и отгоняя сон, потому что это Джармуш. Просто отложите, выкиньте, забудьте; смиритесь, 'Пределы Контроля' — не ваше кино. Если же первые десять минут прошли, но вы и не заметили этого — поздравляю, это она, созданная почти для вас история. Попытайтесь поделиться ею, и вы поймете, что я прав. 

	все под контролем?
