text,binary_label
пытаться заставлять поглядеть фильм смущать продолжительность ко многое обязывать собираться сила начинать просмотр крупный план мини диск давать понимать кино далекий будущее брать качество  « продакт плейсмент »  футуристичный постановка дискета 5.25 ... сцена бунт разворачиваться аккурат тротуар задеть мерседес главный герой колесить туда-сюда ... ральф файнс дом придаваться  « воспоминание »  бывший подруга сразу рождаться куча уместный неуместный аналогия ранее видеть шедевр тема потеря герой свой близкие пусть момент ясно погибать джульета сбегать понятно герой либо становиться тропа война мстить либо попадать водоворот событие приводить объект вожделение казаться впечатление складываться идти классно режиссер показывать свой видение будущий комфортно жить состояние перманентный конфликт конфликт объяснять сценарий понятный зритель свой банальность бедность расизм падение нрав наступать 99 й слушать хардкор напиваться поросячий визг бузить танк остальной спецтехника ... пресловутый японец бизнесмен повестись реклама помойный клубешник маргинальный молодежь попереться сразу растворяться сюжет навсегда искусственный поведение толпа подкрепляться искусственный поведение полицейский механистичный творить безумство улица ... ?.. система прогнивать ?.. режиссер улавливать модный тренд цензура позволять показывать полицейский козел поэтому главный начальник итог оказываться душка снос башка минута напряженный бой главный герой выдергивать свой напряженный широкий мышца спина прощать анатом перепутывать название острый нож случай оттуда торчать вместо вырываться воля фонтан кровь зритель лицезревать экран душещипательный сцена разтрезание галстук повисать злодей упасть вместо вывод известно реалистичность  —  главный конек американский боевик герой дело прорываться цепочка удачный стечение обстоятельство где-то брать недюжинный мастерство итог спасать мир киберпанка твориться герой влезать  « виртуальный реальный »  интерфейс системный код компьютер корпорация забивать свой мозг байт информация неожиданно становиться мессия ... чудо похожий бесхребетный подкаблучник отказываться платить кредит самолюбивый спиваться решать космический задача пытаться вернуть жена поэтому фильм смотреться адекватно отмороженность комикс рисовать веселый ужасный мир пусть абсурдный яркий видеть болото безответный чувство скука безотчетный нарастать всеобщий раздражение художественный точка зрение фильм  « никакой » серый буквальный смысл безмерно затянутый напичкать пустой диалог куча сюжетный линия раскрывать главное лишать режиссерский почерк чувство юмор понимать проявление таковой трогательный авторский фишка избиение санта клаус начало фильм  « месть галстук »  конец чувство юмор последовательный пронизывать картина спасать провал смотреть  « сурьезный »  постановка категория прощать чета камерон тв3 поздно начинать недоумевать тратить свой актер придираться буквально сыграть спасать финальный сцена град пестрый конфеть полицейский злодей окровавленный рожа волочить прицеплять наручник труп товарищ целиться главный героиня кадр  –  смесь бессмысленный жестокость фильм тарантино пафосный графичность стиль джон ву кадр хороший сожаление сей откровение являться поздно утомлять двухчасовой  « смотрение »  зритель уставать ждать  « заговаривать режиссер » жаждать титр качество сюжет умалчивать глупый тема иной гениально раскрываться режиссер,negative
"фильм 95 ого снимать бывший жена главный аватара пройти кэтрин бигелоу снимать  “ повелитель буря ”,  вырывать оскар цепкий синий лапа экс благоверный кстати режиссер юбка получать оскар предыстория собственно кино … “ странный ”  кино казаться поначалу поначалу большой часть фильм самый дело киберпанк жаль ],  триллер что-то мистически тайный неплохой боевик ужасающий тошный сопливый концовка где-то полфильм треть прилично смотреться девяносто идея клип проживать минута чужой  –  крутой гениально точно круто жаль самый интересный линия пускать порожнячок поманить оставлять пылиться задворки ради убогий связь сюжетный линия удивительно придумывать кэмирон прохвост пара слово лишний б … бесплатно …",negative
"1995  –  входить история современный  « киберпанка »  « хакер », « джонни мнемоник » … странно  « странный »  получать огласка вышеперечисленный картина трудиться джеймс камерон отснимать  « чужой »  продолжение  « терминатор » абсолютный провал прокат огромный мерка 90 х бюджет фильм откровенно веять нищий прием 80 х растягивать час взгляд стоить понравиться неотразимый сайзмор джульета льюис !!! появление экран посмотреть понимать кавер патти смит исполнение затирать дыра задолго просмотр картина появление skin момент состав skunk anansie … … желтый уазик восседать самый крутой черный рэпер l a свой свита остальное слабовато ничуть удивляться появление экран синтия ротрок чак норрис очередной драка",negative
"взгляд фильм неплохой сюжет закручивать лихо актер играть предел как-то странно развиваться событие главный герой сотня приходить гент гент вроде серьезный бандюган почему-то какой-то дурик сходить рука постоянно лезть дом лезть девушка лезть дело соглашаться самый мирно настраивать мафиози грохнуть хлопец сразу женщина телохранитель вообще отдельный разговор любить главный герой понимать любить случаться охранник щелкать какой-то супермен протяжение час фильм действовать нерв персонаж файнс каменный стена каменность все-таки перебарщивать фон смотреться слюнтяй хлюпик главный виновник торжество оказываться довольно-таки брутальный ничто удивлять смочь штамп штамп штамп поганять злорадный подлый оказываться совершенно съезжать катушка притворяться нормальный раскрывать ребята набивать оскомина диалог сценарист следовать поставлять двойка правда тупой примитивный скучный работа ', ' какой-то псих ', ' пойти ', ' дерьмо замечательный фраза прозвучать единожды сильно испортить впечатление самый дело напоминать компьютерный игра персонаж использовать десяток запрограммировать фраза словарный запас исчерпываться плюс ко хотеться добавлять некоторый сцена просмотр запись явно затягивать приходиться придратсье монтаж выкидывать минута ,,  фильм выигрывать сторона фильм замечательный саундтрек некоторый исполнять самый джульетт льюис радовать резюмировать сюжет закручивать лихо динамичный двухчасовой фильм актер играть музыка неплохой оператор стараться заштамповать диалог нелогичный действие персонаж явный повторение хороший особенность триллер впечатление сильно портить",negative
кэтрин бигелоу считаться голливуд авторитетный неплохой режиссер садиться режиссерский кресло работа фильм разный жанр тематика фильм  « странный » -  однозначно высокий качественный продукт киноиндустрия внимание бросаться режиссура операторский работа самый начало творческий подход профессионализм режиссер значительно усиливать класс фильм данный проект становиться  « счастливый билет »  талантливый актер райф файнс голливудский джунгли причем справляться свой роль вполне нормально бездумный банальный сценарий давать фильм  « странный »  полностью использовать свой потенциал казаться мелочь хромать сюжет сильно затемнять впечатление,negative
обижаться из-за изменять какой-то глупый блондинка глупый заканчивать беркли ... клешеный брюки яркий фенечек слободный любовь край мода хиппи увлечение астрал эзотерический учение прочий чакра общий верный говорить любовь понимать многий свой самый старый знакомый говорить разговаривать искренне всякий аутотренинг выплескивание негатив честный проговаривание свой проблема кто-то помогать крайний перебарщивание откровенность вести убедительный заманчивый сцена рационализировать приправлять растиражировать психоанализ откровенность превращаться собственный противоположность что-то крайне вымучивать вдумываться поведение здешний герой отомщать искусно взаправду собираться мстить любовник классический ситуация внезапно возвращаться муж гораздо шанс словить инфаркт муж втолковывать жена продвигать испытывать какой-то отсталый чувство тип обида измена муж проявляться стандартный реакция мораль пожалуй извлекать вообще что-либо моральный как-то едва присутствовать ... наверное верность отсталый предрассудок место среди современный передовой явление,negative
"начинать смотреть  « вестсайдский история »,  получать культурный удовольствие фильм славный 60 х вместо обнаруживать масса неразрешимый вопрос : « неужели фильм получать столько награда оскар число хороший фильм », « высоко оценивать », « смотреть 2020 »  п « вестсайдский история » -  переосмысление вечный история любовь представитель непримиримый сторона реалия нью-йорк середина прошлое век вместо монтекки капулетти видеть молодежный банда белый американец выходец пуэрто рико бороться свой право  « район » соглашаться спорный история сопереживать влюбленный разделять цвет кожа получаться слабо сюжет сильно напоминать  « ромео джульетта »,  знать должный заканчиваться увы фильм отходить трагедия шекспир из-за получаться вторичный несомненно выдерживать хороший уровень визуальный составлять музыка игра актер скидка необходимость играть петь танцевать одновременно фильм  –  становиться полноценный произведение искусство простой сложение умножение театр музыка главный минус  « бродвейский история »,  взгляд , –  ощутимый декорация голливудский павильон гипсокартонный нью-йорк come on театральность происходить фильм видеть череда бесконечный бродвейский постановка хороший хореография невыносимый отсутствие кино создаваться впечатление записывать театральный адаптация трагедия шекспир остросоциальный тема классовый сосуществование сожаление , « вестсайдский история »  оставлять впечатление каноничный голливуд 60х заканчивать свой век эксплуатировать смесь актер образцовый внешность яркий изображение история любовь переставать трогать определенно",negative
"наверно решать посмотреть знаменитый мюзикл киномания звезда складываться неблагоприятный ибо совершенно проникаться история несчастный влюблять нью-йорк 60 х вероятно фильм становиться бомба представлять нечто новый ряд выходить современный слегка избалованный зритель подобный постановка вызывать восторг ничто плохой американский кинематограф начало 60 х снимать множество прекрасный кинолента потрясать душа вестсайдский история становиться возможно дело подборка актер пара тоня мария роль выступать каяться доселе известный натали вуд ричард беймер вызывать капля сочувствие ромео джульетта франко дзеффирелли кстати снимать 60 х ),  нежный история любовь сострадать восхищаться бесконечно повесть агитационный социальный направленность называться злоба российский зритель показывать чуждый трогать душа проблема американский молодежь отдавать фильм немножко любовь верить страдание загорелый белозубый красавец нью йорк прозябать бесконечный драка танец кстати музыка кино решающий значение потрясать саундтрек фильм значить композитор вкладывать мелодия частица свой душа соответственно лента терять свой привлекательность вестсайдский история ',  несмотря являться мюзикл очаровывать возможно смочь проникаться смысл повесть честно желание пересматривать давать произведение кинематограф пусть рецензия фильм красный цвет",negative
очередной вариация тема самый печальный повесть свет америка 60 х вид мюзикл честно вообще касса сравнивать картина мастер франко дзеффирелли никакой смысл прочувствованный нежный картина аккуратно относиться оригинальный рукопись сэттинг мягко говорить никакой банда понаехать бездельник маргинал махаться банда понаехать бездельник маргинал тоня мария ромео джульетта представлять единственный волновать будущее смысл работать мюзикл приятно слушать наверное вещь собственно выходить предел мюзикл остальное какой-то какофония расстроенный инструмент фальшивый голос актер хореография нечего просмотр фильм наверное сотня проект видеть пародия танец забавно общий классика американский мюзикл оценивать,negative
"середина 1950 х гг период золотой эра голливуд кинематографист осваивать жанр  « пеплум »,  снимать масштабный широкоформатный картина кино становиться освещаться страница история древний греция древний рим библейский мотив поздний частность 1956 выходить фильм  « завоеватель »  знаменитый монгольский полководец чингисхан учитывать попытка кино рассказывать зритель чингисхан картина невзирая качество представлять определенный значимость сожаление хороший фильм закачиваться  « завоеватель »  получаться слабый картина ужасный репутация пожалуй сюжет картина говорить стоить достаточно упоминать вольный фантазия тема чингисхан ничто общий подлинный история автор вступительный титр пытаться оправдываться снимать вымышленный сюжет основывать реальный факт борьба различный степной племя ситуация спасать зритель смотреть темуджин детство убивать отец татарин самый враг пленять гораздо легко показывать сразу взрослый лихой предводитель степняк исполнение звезда вестерн джон уэйн опускать ус совершенно подходить роль говорить плен сделать взрослый пленник красиво смотреться экран главный герой дочь враг влюбляться друг друг прямо типичный голливудский мелодрама неудивительный отношение фактология создатель  « завоеватель »  получать весьма специфичный фильм вообще касаться актерский состав главный претензия заключаться экранный азиат играть белый американец европеец индеец привлекать создатель съемка массовый сцена отдельно хотеться выделять сьюзен хейуорд сыграть средневековый мерка сильный независимый женщина свой светлый цвет волос вовсе походить татарка батальный сцена особый претензия свой выполнять неплохо дело из-за проблема восприятие современный зритель оценивать достоинство устаревать кино общий вольный фантазия тема байопика чингисхан по-голливудски оказываться убыточный финансовый попадать список плохой фильм история кино прославляться неприятный факт дело съемка фильм проходить неподалеку испытательный полигон вследствие практически член съемочный группа облучать радиация умирать течение небольшой различный онкологический заболевание плюс киностудия rko pictures секундочка крупный момент студия гигант вскоре приходить конец поскольку течение момент приобретение студия миллионер говард хьюз выпускаться фильм приносить прибыль , « завоеватель »  вбивать гвоздь крышка гроб процветание rko данный версия ничто хороший снимать шестидесятый омар шариф смотреть стоить",negative
